,target
5629,0
33824,0
16150,0
16211,0
9662,0
20739,0
40730,0
41994,0
20010,1
13369,0
29959,0
35390,0
3102,0
37487,0
2284,1
1202,0
30246,0
39983,0
19092,0
38595,0
14492,0
14736,0
1296,0
35879,0
31030,0
11854,0
33410,0
15380,0
28888,0
32913,0
7468,0
21439,1
21860,0
39058,0
26002,1
368,0
21877,0
11106,1
41800,1
37194,0
27077,0
34820,0
30650,0
43213,0
9531,0
21338,0
13345,0
35863,0
5028,0
34121,0
13312,0
20353,1
37348,0
23273,0
7975,0
40812,0
4037,1
10959,0
4705,0
25237,0
12397,1
29199,0
16392,0
38848,0
26529,0
33500,0
22487,1
29560,0
37542,0
16013,0
5108,0
39291,0
3539,0
41779,1
6698,0
29881,0
12268,0
18838,0
17284,0
2110,0
38156,0
42235,0
19782,1
36252,1
16767,0
34265,0
16543,0
17971,1
23312,0
14387,0
36894,0
39583,1
22452,0
8694,0
14506,0
1051,1
37239,0
13393,0
16395,0
24591,0
16108,0
16903,0
8453,0
28705,0
28473,0
14486,0
5137,0
8713,0
28822,0
38757,0
28367,0
28213,0
38744,1
15753,0
34371,0
16021,0
15520,0
13356,0
35707,0
16310,0
27711,0
34674,0
17074,0
36093,0
7379,0
117,1
10136,0
17789,1
32098,0
18926,0
21650,0
8016,0
38460,0
37333,0
33321,0
19412,0
12768,0
16651,0
40144,0
16139,0
25120,0
28453,0
8156,0
41930,0
8975,0
14787,0
22513,0
14628,0
29295,0
32618,0
19890,1
17412,0
38812,0
1362,0
3379,1
22808,0
17107,0
27505,0
15501,0
29496,0
5277,1
4258,1
4112,0
11200,0
1395,0
22522,0
42061,0
21936,0
29293,0
39444,0
22039,0
20982,0
37640,0
16589,0
28831,0
36750,0
598,0
6140,1
2348,0
12997,0
19433,0
6000,0
2436,0
35969,0
23397,0
24854,1
20613,0
42555,0
20924,0
41600,0
12059,0
43325,0
31908,0
29062,0
37629,0
278,0
32026,1
41667,1
39275,0
3410,0
39802,0
28378,0
23953,0
29912,0
10883,0
3335,0
34466,0
6875,1
7923,0
39849,0
18110,0
26079,0
28294,0
42000,0
37428,0
13439,0
15285,0
11371,0
932,1
25492,0
17414,0
19413,0
17797,1
27848,0
445,1
38705,0
9665,0
23817,0
28558,0
19963,1
9933,0
42249,0
964,1
25508,0
21106,0
15550,0
24772,0
3263,0
8301,1
35666,1
18457,0
14796,0
34084,0
9100,0
42141,0
22350,1
13953,0
31824,0
12510,0
14474,0
39176,0
26483,0
5393,0
64,1
21423,0
34058,1
18289,0
8337,1
3914,1
2979,0
17989,1
1135,0
27764,0
10561,0
33408,0
22216,0
28592,1
42891,0
31634,0
22298,0
33053,0
18054,0
37177,0
34103,0
3124,1
43321,0
88,0
11312,0
12134,0
25759,0
797,0
10742,1
4014,0
14068,0
21992,0
38028,0
11929,1
42732,0
10455,0
2207,1
19614,0
26293,0
15427,0
4703,0
9502,0
15413,0
24285,0
19324,0
23588,0
17457,0
39112,0
38241,0
29990,0
21013,0
41156,0
28353,0
11142,0
8497,1
17264,0
1386,0
38909,0
33385,0
43313,0
41835,1
37568,1
19147,0
17209,0
568,1
34330,0
33874,0
16967,0
19825,1
19366,0
42928,0
36292,0
3298,0
19554,0
1986,0
36270,0
34920,0
1074,1
31244,0
33617,0
6137,1
29099,0
41729,1
12517,0
5551,0
36318,0
18163,0
19222,0
9855,1
13818,0
42046,0
34433,0
8513,0
36563,0
6514,0
22709,0
41597,0
24424,0
30058,0
40803,0
30537,0
7627,0
25353,0
37255,0
35650,0
13204,0
31726,0
41447,0
2627,1
14469,0
5627,0
24690,1
16409,0
11416,0
27179,0
27959,1
8386,0
35573,1
6976,0
10512,0
28743,0
24184,0
34796,0
24303,0
23400,0
20517,0
21416,0
33687,1
25860,0
10201,0
35529,0
34241,0
12638,0
41466,0
42442,0
23668,0
26188,0
27569,1
37724,0
41857,1
11229,0
28880,0
26905,0
34761,0
27139,0
8210,0
16840,0
29115,0
23711,0
27141,0
19741,1
15056,0
35120,0
36958,0
14830,0
34764,0
38522,0
38746,1
37225,0
11166,0
10706,0
399,0
21453,1
16531,0
17123,0
19466,0
9659,1
22836,0
16782,0
22468,1
28798,0
33481,0
18581,0
36835,0
8726,0
32850,0
12774,0
35401,0
42605,0
36998,0
18542,0
29841,0
5848,0
639,0
4941,0
4406,0
12305,0
41217,0
22724,0
26371,0
6206,0
15813,0
1533,1
8799,1
38546,0
38761,0
17906,0
18034,0
2903,0
28003,0
2180,0
30090,0
33750,0
33015,0
42461,0
34475,0
17115,0
24881,0
20451,0
22475,1
26071,0
30876,1
7282,0
26588,1
33135,0
32515,0
58,1
30297,0
19648,0
15165,0
41086,0
37615,0
38374,1
9323,0
3314,0
4643,0
41648,0
20552,1
32834,0
42324,0
16730,0
15379,0
8354,0
34908,0
35179,0
37795,0
18044,0
25106,0
26113,0
5527,0
15422,0
9956,0
31906,0
6964,0
2631,1
22387,0
6719,0
21083,0
1558,0
8113,0
4215,0
42966,0
42436,0
14550,0
11893,0
6297,0
5855,0
14731,0
6901,1
10135,0
34087,0
9135,0
13776,0
18857,0
42712,1
23754,0
22226,0
8550,0
22735,0
21084,0
13250,0
28617,0
3418,0
32934,0
40188,0
2004,0
13430,0
32250,0
16318,0
13040,0
42541,1
5652,0
31342,0
32319,1
13892,0
23450,0
13324,0
14556,0
23275,0
25350,0
37722,0
42383,0
1921,0
23479,0
4863,0
32305,0
23279,0
7278,0
17807,1
433,1
2841,0
36892,0
26444,0
40414,0
32810,0
37391,0
29577,0
27751,1
41510,0
39174,0
24491,0
27144,0
3214,1
10395,0
14653,0
25625,0
11428,0
27063,0
5953,0
25218,0
30299,0
32955,0
35547,0
25050,1
28957,1
11218,0
21454,1
30902,0
7255,0
24674,1
16194,0
29003,0
41073,0
33343,0
38143,0
9374,0
14867,0
3161,0
21261,0
9240,0
4210,0
26012,0
17450,0
2078,0
29821,0
9455,0
12934,0
20793,0
27950,1
18650,0
18149,0
27793,1
18893,0
2150,1
33017,0
6709,0
27491,0
7681,0
34898,0
36933,0
8042,0
17029,0
21937,0
11402,0
8291,1
20999,0
37505,0
6299,0
3950,1
5640,0
32040,0
25737,0
10364,0
29035,0
12748,0
31757,0
27099,0
1124,0
1436,0
30116,0
5957,0
29369,1
29790,0
28234,0
39040,0
8810,1
36700,0
37433,0
2011,0
26170,0
37420,1
15180,0
29084,1
3815,1
23094,0
18522,0
18785,0
13398,0
19595,0
38106,0
4866,0
2885,0
1,1
15124,0
2784,0
14740,0
41759,1
16244,0
1179,0
37324,0
4734,0
17497,0
27921,0
37808,0
15960,0
31394,0
32237,0
30218,0
38963,0
9282,0
2146,1
33177,0
12062,0
1292,0
6085,1
1778,1
18168,0
19514,0
26732,0
18172,0
20000,1
35407,0
28609,0
41701,0
14689,1
32210,0
26900,0
15178,0
165,0
16238,0
32144,0
14124,0
40839,0
33339,0
36808,0
33399,0
40667,0
7990,0
20601,0
25066,1
33101,0
31530,0
15415,0
14259,0
25276,0
41132,0
28422,0
14276,0
22076,0
42224,0
23306,0
13311,0
5179,1
42136,1
10309,0
33230,0
40240,0
40027,0
21868,0
17291,0
28381,0
35141,0
26749,0
23634,0
10436,0
20766,0
3818,0
11945,1
30079,0
12574,0
35685,0
29845,0
37331,0
39575,1
39238,0
42446,0
2372,1
2764,0
28325,0
40602,0
5074,0
25224,0
26918,0
38162,0
7260,0
13376,0
16820,0
7868,0
29004,0
32233,0
37806,0
15680,0
31098,0
32579,0
34927,0
30647,0
29168,0
17118,0
4722,0
13140,0
42694,1
17025,0
11713,0
31741,0
24198,1
5667,0
16159,0
25794,0
33921,0
14409,0
38473,0
3322,0
25910,0
29518,1
1838,0
33349,0
35128,0
26950,1
17834,0
26148,0
18179,0
29046,0
11784,0
26456,0
18319,0
35521,0
38227,0
42448,1
17966,1
1498,0
3429,0
42546,1
106,0
15134,0
14999,0
15109,0
34093,1
13351,0
41491,0
20015,1
16534,0
19532,0
40392,0
33681,1
31272,0
3226,1
38564,0
21732,0
15816,0
32813,0
30512,0
38984,0
11718,0
39596,0
26782,0
14753,0
26147,0
4487,0
26467,0
11685,0
2862,0
14075,0
12631,0
31968,0
13186,0
27019,0
19765,1
13696,0
29080,1
8239,0
19714,0
13506,0
2665,0
6843,0
39746,0
25998,1
1941,1
22648,0
41345,0
12716,0
28409,0
25374,0
22384,0
17679,1
6144,1
2855,0
9876,0
23695,0
26604,1
35853,0
31578,0
22250,0
10,0
42360,1
5146,0
7055,0
34621,0
25901,0
27189,0
39147,0
19500,0
4364,0
1231,0
36233,1
16370,0
38710,0
40458,0
22593,0
41473,0
16174,0
5644,0
18339,0
9210,0
41549,0
28620,0
25594,0
38059,0
25556,0
4277,1
23247,0
33400,0
29658,0
28057,0
22393,0
3971,0
14509,0
30057,0
39068,0
17140,0
29163,0
8904,0
6242,0
30022,0
29732,0
11081,1
10371,0
6691,1
17253,0
15710,0
30863,0
29619,0
42392,0
12382,0
15281,1
6885,1
39382,0
13903,0
37533,0
8108,0
9903,0
5305,0
7795,0
3395,1
32497,0
11895,0
24787,0
24139,0
33189,0
27116,0
43025,0
26928,1
113,1
35695,0
4887,0
30979,0
22143,0
39963,0
7685,0
15746,0
26941,1
32884,0
34953,0
27329,1
35350,0
36096,1
14266,0
31173,0
36368,1
22976,0
27175,0
24117,0
13478,0
37514,0
39295,0
22020,1
21541,0
40700,0
42368,0
39014,0
19023,1
27666,0
22760,0
29874,0
11414,0
29250,0
23438,0
2096,1
1761,0
23329,0
18450,0
16160,0
8934,0
7573,0
21729,0
43275,1
30423,0
28415,0
25232,0
24293,0
33648,0
1337,0
18953,0
24722,0
17617,0
39817,0
6016,0
27047,0
14231,0
38124,0
28220,0
28805,0
40451,0
36160,1
38051,0
19139,0
8436,0
26465,0
43272,1
18984,0
43316,0
12834,0
6198,0
28830,0
29615,0
8076,0
7025,0
16617,0
34283,0
16493,1
9963,0
34063,1
38767,0
1083,0
28622,0
27556,1
31192,0
30308,0
23709,0
27689,1
30828,0
16609,0
22239,0
22912,0
28501,0
33472,0
26454,0
4983,0
8808,1
13589,0
11439,0
19470,0
28854,0
1527,1
12140,0
23639,0
34828,0
17959,1
29546,0
15071,0
153,0
27105,0
8035,0
24874,0
17961,1
2579,0
31162,0
40359,0
41118,0
13257,0
43249,0
1147,0
13671,0
43211,0
4951,0
21020,0
22814,0
13249,0
40847,0
31216,0
9896,0
31181,0
21401,0
29925,0
7457,0
23551,1
27298,0
2502,0
20104,0
8065,0
1470,0
38380,1
8369,0
22208,0
37133,0
25993,1
13587,0
9996,0
22689,0
34742,0
26037,0
24977,0
7675,0
31774,0
33888,1
6493,0
32416,0
39641,0
30360,0
22732,0
4876,0
3122,1
30486,1
5651,0
7673,0
2170,1
5580,0
30641,0
9104,0
21251,1
27695,1
13141,0
26625,1
6676,1
1465,0
127,0
3197,0
28583,0
19928,1
35088,0
19077,0
39074,0
26119,0
18347,0
31902,0
32329,0
3448,0
21200,0
40204,0
35977,0
663,1
39788,0
1669,0
25456,0
39053,0
43198,0
21931,0
38897,0
38531,0
13330,0
41824,0
14598,0
6210,0
30109,0
18757,0
11039,0
3587,0
7581,0
15316,0
24619,1
19708,0
12196,0
36653,0
31316,0
21829,0
22188,0
31531,0
21953,0
16137,0
10855,0
32260,0
10694,0
14190,0
14649,1
36692,0
15929,0
30653,0
8275,1
3385,1
34388,0
8490,0
22476,1
3850,0
41544,0
5522,0
31896,0
39135,0
20533,1
27966,1
36205,0
39383,0
37004,0
36984,0
203,0
23491,0
17491,0
16544,0
24052,0
25054,1
41558,0
1459,0
38394,0
1396,0
15835,0
32366,1
3241,0
43238,0
24551,1
34293,0
12555,0
25600,0
18228,0
28486,0
5809,0
5279,1
38874,1
16875,0
31930,0
7324,0
40959,0
25398,0
42028,1
11318,0
31860,0
14078,0
6133,1
6148,1
37060,0
23960,0
13070,0
17757,1
18449,0
10228,0
17886,1
6001,0
18333,0
37350,0
20455,0
32142,0
1892,0
24889,0
23753,0
2874,0
9287,0
20950,0
6431,0
12567,0
4735,0
14165,0
14101,0
36435,0
31291,0
26934,1
19619,0
24703,1
5663,0
34206,0
25767,0
39400,0
35023,0
26946,1
4638,0
9264,0
24677,1
31704,0
32475,0
39731,0
14369,0
29487,0
11708,0
10276,0
35865,0
24466,0
6438,0
29958,0
15939,0
35949,0
14390,0
9626,1
37562,1
27737,0
10010,0
28876,0
5711,0
12426,0
17934,1
4545,1
31858,0
25002,0
5091,1
25927,0
29507,0
30393,0
10720,0
41709,0
21300,1
6441,0
41498,0
15129,0
8709,0
464,1
9003,0
15867,0
8640,0
30388,0
31129,0
39091,0
30231,0
1619,0
24784,0
4152,0
42937,0
36453,0
14533,0
31588,0
29974,0
29713,0
19189,1
26161,0
21574,0
14944,0
38219,0
26808,1
24832,0
36860,0
25760,0
36357,0
13247,1
19846,1
33503,0
3118,0
19005,1
1739,1
2022,0
18933,0
28770,0
26589,1
17327,0
24942,1
42346,0
34402,0
18668,0
32384,0
2790,0
12257,1
20237,0
13109,0
677,0
16099,0
42223,0
13150,0
17021,0
21344,0
17606,0
32978,0
24959,1
27611,1
12413,0
23036,0
5866,0
18579,0
26417,0
36777,0
6261,0
20577,1
42190,1
5781,0
34878,0
25841,0
32470,0
5387,0
7214,0
25815,0
22589,0
2645,0
25279,0
3603,0
26579,1
36848,0
12622,0
33864,1
14947,0
2510,1
32461,0
19078,0
21627,0
1674,0
13853,0
5228,1
714,1
8656,0
21763,0
42776,1
12424,0
9167,0
33161,0
43223,1
2527,1
31570,0
26374,0
26655,0
29006,0
12705,0
22397,0
109,1
42821,0
22199,0
34866,0
26392,0
28469,0
36955,0
23246,0
27021,0
5958,0
10096,0
21519,0
24746,1
35174,0
21988,0
22063,0
21957,0
161,0
8727,0
24691,1
35633,1
3428,0
447,1
8071,0
4802,0
42212,0
29396,0
11259,0
25367,0
2337,0
43150,0
41273,0
9280,0
12496,0
37849,0
13413,0
39521,1
37029,1
42962,0
40875,0
35543,0
27258,1
33324,0
27710,0
18272,0
42414,0
6567,0
20105,0
22206,0
5593,0
31603,0
27409,0
17432,0
9272,0
2772,0
22816,0
17367,0
4932,0
14901,0
5901,0
29184,0
20135,1
15377,0
23047,0
33668,0
23290,0
22879,0
29595,0
30369,0
24982,0
15214,0
10616,0
37067,0
35156,0
35290,0
8073,0
3626,1
40436,0
31797,0
41262,0
34040,0
313,1
10754,1
30898,0
3773,1
27342,1
34998,0
7649,0
33848,0
35754,0
35420,0
15703,0
6451,0
42766,1
2358,1
39899,0
38048,0
34346,0
16345,0
9483,0
35656,1
35369,0
23314,0
15101,0
27475,0
903,1
8719,0
15043,0
11939,1
19725,0
31458,0
30848,0
18089,1
12123,0
20880,0
17339,0
31320,0
1808,1
19542,0
21695,0
6756,0
39829,0
15059,0
8865,0
6794,1
41305,0
28368,0
29047,0
36528,0
4952,0
16597,0
40699,0
32268,0
43232,0
17580,0
19815,1
31975,0
39355,0
40402,0
17861,0
24575,0
9196,0
7728,0
16187,0
6589,0
5678,0
34028,0
31312,0
5452,0
19142,0
10138,0
37606,0
2006,0
13665,0
31104,0
34005,0
20797,0
1970,0
19340,0
31082,0
22381,1
9327,0
19429,0
27576,0
1410,1
30019,0
26505,0
1960,0
2887,0
12695,0
4081,0
20441,0
20743,0
2,1
5254,1
27489,0
33745,0
41015,0
9943,0
30856,0
11649,0
23741,0
9001,0
27632,0
31878,0
37330,0
14611,0
27568,1
7120,0
14050,0
39955,0
23395,0
21904,0
8553,0
34515,0
18390,0
42787,1
38279,0
20755,0
2047,1
6992,0
26142,0
17891,1
29210,0
40845,0
23990,0
26516,0
992,1
38637,1
41950,1
24695,1
17799,1
28169,0
2788,0
2814,0
38615,0
22768,0
42491,1
7658,0
27914,0
11845,0
11477,0
26331,0
32419,0
25711,0
31323,0
21459,0
22326,1
21039,0
19388,0
10145,0
19311,0
11279,0
28072,0
37392,0
43331,1
7739,0
7766,0
36878,0
12604,0
38304,0
25682,0
28973,0
22436,0
40002,0
18204,0
17250,0
30089,0
12185,0
2483,0
19449,1
17170,0
18129,0
33960,0
5835,0
12757,0
30493,0
14656,0
1406,1
27457,1
27042,1
15449,0
5727,0
39780,0
27026,0
22715,0
27892,0
18566,0
33525,0
39439,0
12550,0
2986,0
17867,0
4670,0
11444,0
21664,0
10159,0
22597,0
15375,0
12431,0
31611,0
32296,0
2115,0
16602,0
39111,0
18335,0
27041,1
14447,0
41365,0
1620,0
31447,0
33504,0
39177,0
19589,0
33642,0
27654,1
29910,0
18476,0
6409,0
33942,0
24507,0
3835,0
9110,0
22273,0
40711,0
19137,0
22627,0
4475,0
43284,1
39717,0
16536,0
21326,0
15969,0
38811,0
14531,0
15126,0
13463,0
34879,0
21446,1
10417,0
35414,0
11233,0
41720,1
29687,0
14354,0
32885,0
17042,0
24704,1
4750,0
24278,0
13904,0
3333,0
13668,0
1186,0
4142,0
6672,1
40516,1
29261,0
21751,0
2584,0
14576,1
37711,0
12535,0
24092,0
31199,0
10164,0
33473,0
12790,1
33002,0
19227,0
24140,0
9799,0
10271,0
27312,0
10840,0
14756,0
12899,0
35525,0
42898,0
3205,1
34008,0
16453,0
21239,0
39395,0
20689,1
36136,1
23643,0
22687,0
38654,0
8996,0
30484,1
23757,0
23005,0
33038,0
38435,0
29921,0
7027,0
28138,0
18701,0
4321,0
42042,0
16499,0
24153,0
18391,0
30225,0
33962,0
376,0
35655,0
39678,1
25680,0
40947,0
17187,0
13386,0
41103,0
20038,0
38436,0
4483,0
31987,0
41940,1
12632,0
13333,0
1011,1
26512,0
5493,0
6640,1
26910,0
809,1
8966,0
18432,0
12264,1
29559,0
23002,0
19303,0
545,1
32111,0
10300,0
38311,0
12639,0
27079,0
27807,1
38430,0
35183,0
22554,0
37700,0
12566,0
21769,0
22710,0
12488,0
24829,0
1622,0
14648,1
15198,0
29566,0
21451,1
26466,0
16747,0
3173,0
35683,0
1552,0
14270,0
30572,0
5283,1
7925,0
16858,0
2465,1
21768,0
40621,0
6235,0
310,0
15684,0
13941,0
12722,0
38327,0
18887,0
28668,0
18918,0
28395,0
24569,0
36030,0
32487,0
8127,0
9113,0
15151,0
34733,0
15915,0
33878,1
12212,0
3953,1
33009,0
38730,1
5636,0
31314,0
39756,0
26355,0
40039,0
8478,0
3495,0
43171,0
28588,1
18344,0
42954,0
2192,1
15936,0
9252,0
5705,0
3191,0
26875,0
12910,0
42537,1
12895,0
9727,1
36534,0
39301,0
23229,0
22929,1
26334,0
5856,0
17426,0
32338,0
18477,0
14808,0
5411,0
3529,0
19755,1
34001,0
12878,0
23512,0
29076,0
32447,0
15434,0
29376,1
6635,1
26547,0
1684,0
12191,0
24951,0
3277,0
19558,0
21252,1
15098,0
3177,0
16367,0
35777,0
13625,0
22154,0
19403,0
11450,0
170,0
501,1
20919,0
7761,0
2750,0
10113,0
36555,0
35678,0
24225,0
11635,0
32659,0
42792,0
23553,1
27618,1
42417,0
33380,0
4382,0
19829,1
4695,0
30038,0
5701,0
12277,0
36423,0
10004,0
30921,0
15405,0
8775,0
31700,0
16607,0
17553,1
32668,0
34179,0
13678,0
30633,0
43035,0
31737,0
36744,0
31449,0
8205,0
29853,0
909,1
11396,0
4542,1
33354,0
13548,0
19754,1
1785,1
5852,0
19046,0
17871,0
37847,0
4084,0
12235,0
15757,0
41622,1
27540,1
8701,0
25242,0
32378,0
15708,0
21230,0
24702,1
17056,0
38523,0
18707,0
38091,0
12961,0
14109,0
355,0
36018,0
9554,0
23617,0
32438,0
10950,0
31667,0
4327,0
11070,0
40503,1
7680,0
34339,0
41179,0
18867,0
31648,0
25103,0
21737,0
27492,0
19990,1
2188,0
4059,0
32148,0
30397,0
22857,0
541,1
15793,0
32917,0
1273,1
18210,0
4987,0
27875,1
18315,0
9791,0
3931,1
33933,0
26544,0
31600,0
17272,0
12584,0
11539,0
13093,0
23898,0
39110,0
17588,0
29285,0
17067,0
25188,1
2494,0
2050,1
9370,0
20723,0
29796,0
5717,0
8873,0
32864,0
38448,0
24629,1
12903,0
38052,0
14311,1
37794,0
17310,0
8501,1
31873,0
15321,0
32670,0
10483,0
11063,0
24396,0
15647,0
36012,0
1269,1
25847,0
29549,0
9303,0
9064,0
5162,0
21356,0
38297,0
1004,1
20620,0
32653,0
27196,0
36305,0
22252,0
6865,1
41810,0
21171,1
38678,0
5787,0
9589,0
10421,0
24976,0
15716,0
39860,0
10648,0
26574,1
23120,0
37684,0
22741,0
27234,0
17036,0
13084,0
30219,0
9587,0
3472,0
5696,0
39956,0
34091,1
14725,0
34396,0
20243,0
18551,0
18667,0
25902,0
6443,0
16138,0
37521,0
34144,0
33133,0
39080,0
24175,0
32510,0
13147,0
36704,0
39836,0
34182,0
770,1
19325,0
40946,0
4516,0
5469,0
30283,0
35676,0
33167,0
26018,0
5407,0
10084,0
15272,0
41186,1
11825,0
42210,0
4804,0
43123,0
4449,1
7347,0
41501,0
42059,0
29685,0
1646,0
8280,1
32453,0
8968,0
30935,0
26381,0
37287,0
38375,1
39755,0
23580,0
24387,0
32949,0
43247,0
1355,0
26824,0
16450,0
35888,0
18723,0
2946,0
10374,0
11547,0
24208,1
23548,1
19878,1
30506,0
22625,0
22324,1
25926,0
5176,1
26378,0
42880,0
28990,0
15275,0
36979,0
20942,0
8443,0
2268,1
30982,0
12210,0
9551,1
22739,0
14575,1
30927,0
17558,1
39077,0
29160,0
39151,0
29141,0
22694,0
23978,0
11195,0
22181,0
17788,1
37314,0
3880,0
14904,0
23110,0
13549,0
10894,0
26176,0
38813,0
17265,0
34794,0
15244,0
30403,0
22168,0
3678,0
7369,0
8236,0
14548,0
25186,0
34939,0
34404,0
22291,0
1446,0
41536,0
20738,0
29481,0
40961,0
41629,1
4536,1
33289,0
23787,0
38815,0
40613,0
32734,0
28862,0
43136,0
3274,0
16465,0
30558,0
32516,0
2237,1
38851,0
18851,0
36780,0
25701,1
27648,0
14587,1
16401,0
32126,0
40727,0
3175,0
5687,0
12887,0
37125,0
36953,0
36669,0
30387,0
12246,0
9091,0
28335,0
40306,0
21011,0
1522,0
29182,0
2548,0
20522,1
10166,0
21321,0
1886,0
28522,0
24512,0
24467,0
28177,0
32440,0
31102,0
25419,0
30449,0
22991,0
27235,0
4716,0
32901,0
17241,0
20485,0
25345,1
22130,0
10725,0
42037,0
20432,0
26955,1
13308,0
5076,0
6375,0
40619,0
36087,0
20864,0
2064,0
13303,0
19045,0
30135,0
36898,0
4631,1
28344,0
17442,0
35271,0
10106,0
20957,0
12395,1
43229,0
15712,0
6256,0
29408,0
39911,0
14054,0
14114,0
39284,0
31619,0
42230,0
6400,0
38540,0
36526,0
18968,0
8361,0
2533,0
17405,0
3115,0
32115,0
31999,0
26205,1
4389,0
43066,0
33892,0
29690,0
1631,0
4341,0
34199,0
12754,0
34335,0
38335,0
26040,0
15989,0
3089,0
2478,0
19035,1
18123,0
516,1
5447,0
17703,1
38239,0
3454,0
16279,0
6369,0
3843,0
14959,0
12712,0
19160,1
10634,0
10041,0
32751,0
25031,0
25040,0
36044,0
3447,0
21689,0
2951,0
11067,0
9108,0
30974,0
13160,0
20212,0
12381,0
35024,0
40241,0
19378,0
8262,1
24001,0
37997,0
11446,0
9685,0
14143,0
10114,0
4226,0
3514,0
26352,0
13762,0
32402,0
43001,0
35760,0
13043,0
30248,0
17005,0
38108,0
16711,0
1104,0
27104,0
28766,0
28863,0
4006,0
24607,0
1024,0
29303,0
22963,0
6116,1
26882,0
36049,1
4456,0
27846,0
35080,0
1283,0
33826,0
39244,0
11192,0
42724,0
6121,1
17600,1
16221,0
42588,0
15444,0
30515,0
16341,0
42864,0
38495,0
37046,0
32281,0
8340,1
31597,0
31039,0
